GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
build-utilities-maven-plugin,de.eitco.cicd.build_utilities_maven_plugin,HelpMojo,773,0,112,0,156,0,72,0,16,0
build-utilities-maven-plugin,de.eitco.cicd.build.utilities,WriteFileMojo,13,40,2,4,4,11,2,3,0,2
build-utilities-maven-plugin,de.eitco.cicd.build.utilities,DependenciesVersionPropertiesMojo,11,63,1,1,4,16,1,3,0,3
build-utilities-maven-plugin,de.eitco.cicd.build.utilities,DependenciesVersionPropertiesMojo.new DependencyNodeVisitor() {...},8,84,3,3,2,17,3,3,0,3
build-utilities-maven-plugin,de.eitco.cicd.build.utilities,ListPropertiesMojo,19,54,4,4,4,11,3,3,0,2
build-utilities-maven-plugin,de.eitco.cicd.build.utilities,SetProjectArtifactMojo,10,0,0,0,3,0,2,0,2,0
